23/05/2018 14:00,130.57,65.84,0,0.06,89.29,100,Weekday,Wednesday,Maximum_Load
15/06/2018 15:45,55.8,22.39,0,0.03,92.81,100,Weekday,Friday,Maximum_Load
13/09/2018 11:15,50.33,24.26,0,0.02,90.08,100,Weekday,Thursday,Maximum_Load
17/04/2018 19:00,127.4,55.22,0,0.06,91.75,100,Weekday,Tuesday,Medium_Load
19/12/2018 06:15,4.07,2.77,0,0,82.67,100,Weekday,Wednesday,Light_Load
12/02/2018 06:45,4.46,4.39,0,0,71.27,100,Weekday,Monday,Light_Load
02/03/2018 23:30,5.11,4,0,0,78.74,100,Weekday,Friday,Light_Load
30/07/2018 14:15,48.64,27.83,0,0.02,86.8,100,Weekday,Monday,Maximum_Load
14/04/2018 16:45,36,0.47,2.81,0.02,99.99,99.7,Weekend,Saturday,Maximum_Load
06/03/2018 18:15,49.25,20.52,0.04,0.02,92.31,100,Weekday,Tuesday,Medium_Load
17/01/2018 14:00,80.75,35.5,0,0.04,91.54,100,Weekday,Wednesday,Medium_Load
26/10/2018 02:30,2.92,4.68,0,0,52.93,100,Weekday,Friday,Light_Load
27/02/2018 07:15,4.54,4.14,0,0,73.89,100,Weekday,Tuesday,Light_Load
06/07/2018 11:15,76.9,41.9,0,0.04,87.81,100,Weekday,Friday,Maximum_Load
28/08/2018 11:30,59.9,43.02,0,0.03,81.22,100,Weekday,Tuesday,Maximum_Load
21/12/2018 05:30,3.2,2.3,0.07,0,81.2,99.98,Weekday,Friday,Light_Load
22/08/2018 23:15,2.81,5.18,0,0,47.68,100,Weekday,Wednesday,Light_Load
20/12/2018 05:00,3.35,2.27,0.14,0,82.78,99.91,Weekday,Thursday,Light_Load
08/12/2018 22:45,5,4,0,0,78.09,100,Weekend,Saturday,Maximum_Load
09/03/2018 17:45,35.1,0.47,5.08,0.02,99.99,98.97,Weekday,Friday,Medium_Load
18/02/2018 23:00,3.24,4.64,0,0,57.25,100,Weekend,Sunday,Light_Load
04/03/2018 01:00,3.31,4.18,0,0,62.08,100,Weekend,Sunday,Light_Load
03/03/2018 09:45,34.49,1.87,4.82,0.02,99.85,99.04,Weekend,Saturday,Medium_Load
03/02/2018 04:15,5.9,4.68,0,0,78.35,100,Weekend,Saturday,Light_Load
02/02/2018 18:00,70.56,7.6,0.76,0.03,99.42,99.99,Weekday,Friday,Maximum_Load
29/12/2018 23:45,3.42,2.38,0.07,0,82.08,99.98,Weekend,Saturday,Light_Load
23/07/2018 08:15,20.59,22.46,0,0.01,67.58,100,Weekday,Monday,Light_Load
05/07/2018 09:45,74.52,40.79,0,0.03,87.72,100,Weekday,Thursday,Medium_Load
11/12/2018 14:45,72.61,40,0,0.03,87.59,100,Weekday,Tuesday,Medium_Load
13/05/2018 18:15,3.53,0,6.05,0,100,50.4,Weekend,Sunday,Light_Load
07/11/2018 23:15,3.56,6.16,0,0,50.04,100,Weekday,Wednesday,Light_Load
10/06/2018 03:00,2.88,5.15,0,0,48.81,100,Weekend,Sunday,Light_Load
04/08/2018 08:45,2.59,4.1,0.54,0,53.41,97.89,Weekend,Saturday,Light_Load
11/06/2018 20:15,69.55,25.45,0,0.03,93.91,100,Weekday,Monday,Medium_Load
04/01/2018 14:15,117.97,41.72,0,0.05,94.28,100,Weekday,Thursday,Medium_Load
14/09/2018 05:45,3.64,5.62,0,0,54.36,100,Weekday,Friday,Light_Load
30/12/2018 20:30,3.24,0,14.47,0,100,21.85,Weekend,Sunday,Light_Load
08/04/2018 09:00,100.44,29.12,0,0.05,96.04,100,Weekend,Sunday,Light_Load
17/10/2018 17:30,42.52,19.15,0.22,0.02,91.18,100,Weekday,Wednesday,Medium_Load
28/11/2018 00:30,23.65,15.08,0,0.01,84.32,100,Weekday,Wednesday,Light_Load
04/02/2018 01:45,9.22,8.64,0,0,72.97,100,Weekend,Sunday,Light_Load
05/03/2018 16:00,146.88,70.49,0,0.07,90.16,100,Weekday,Monday,Maximum_Load
04/11/2018 01:30,2.95,4.93,0,0,51.35,100,Weekend,Sunday,Light_Load
13/09/2018 05:00,2.77,4.61,0,0,51.5,100,Weekday,Thursday,Light_Load
04/09/2018 00:45,2.7,5.22,0,0,45.94,100,Weekday,Tuesday,Light_Load
24/09/2018 03:00,2.63,5.8,0,0,41.3,100,Weekday,Monday,Light_Load
22/10/2018 18:15,40.1,22.36,0,0.02,87.34,100,Weekday,Monday,Medium_Load
18/06/2018 05:15,2.66,3.89,0,0,56.45,100,Weekday,Monday,Light_Load
16/12/2018 09:15,61.7,24.84,0,0.03,92.76,100,Weekend,Sunday,Medium_Load
30/09/2018 18:00,2.74,0,7.88,0,100,32.84,Weekend,Sunday,Light_Load
11/12/2018 18:15,36.4,14.94,0,0.02,92.51,100,Weekday,Tuesday,Maximum_Load
26/12/2018 23:15,3.74,2.77,0.25,0,80.36,99.78,Weekday,Wednesday,Light_Load
06/09/2018 15:15,46.91,26.96,0,0.02,86.7,100,Weekday,Thursday,Maximum_Load
20/10/2018 08:15,18,18.11,0,0.01,70.49,100,Weekend,Saturday,Light_Load
14/03/2018 14:00,56.23,23.69,0,0.03,92.16,100,Weekday,Wednesday,Maximum_Load
06/12/2018 09:15,67,32.83,0,0.03,89.8,100,Weekday,Thursday,Medium_Load
